Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),App message,
77.5,1400,,0.08435366511288393,1.1191657441528902,18.994256358841675,3.1182342617311174,358.03684275527996,59.22854095424425,40.946825777723866,69.13360538352019,0.027332173444363676,0.018895716931765682,73.0625,,
78.5,1400,,0.08440922091824823,1.1183672234623427,18.989334573727042,3.1181171055890506,358.1415625104,59.210968958091854,40.98362158334721,69.21626567596701,0.027288150247726437,0.01888783857352338,73.0625,,
79.5,1400,,0.08411130970956383,1.1132996387242655,19.004929053362083,3.1192373736916825,358.45572177575997,59.2808849876059,40.87721960820595,68.95514400089053,0.027235209473512597,0.01878007791140479,73.0625,,
80.5,1400,,0.08455271886801352,1.1192401217284134,19.01670896474625,3.1180355725183198,359.81707859232,59.29477502430684,41.249298404678065,69.56649787062797,0.027133555357670782,0.018875864210119705,73.0625,,
81.5,1400,,0.08407264835802634,1.121057909275197,19.025299346552746,3.120514171681868,359.50291932695995,59.368716231407625,40.978136874176045,69.02311431908228,0.027357464120865753,0.01888297373494709,72.95,,
82.5,1400,,0.08435537826452835,1.122466776534057,19.037740982571364,3.118057466892424,359.50291932695995,59.360770423470555,41.118135854300625,69.26819776928467,0.02729858134890753,0.01890923531697033,72.95,,
83.5,1400,,0.0847755334765085,1.131932359802676,19.008969957471592,3.1204731828057697,358.24628226552,59.316980985050634,41.18060252678332,69.42464340382034,0.027487027637987622,0.019082770919982443,72.95,,
84.5,1400,,0.08491349803060533,1.1190674228694484,18.958331569976615,3.1187865640949552,357.19908471431995,59.12698977810028,41.122012050840056,69.54863118377627,0.02721334309921218,0.018926507624846708,72.95,,
85.5,1400,,0.08483597516423005,1.1173731093604933,18.96466895441518,3.114908460628726,356.98964520408,59.07320777913078,41.063233595226535,69.51244927947393,0.027211035554939447,0.0189150572885469,72.95,,
86.5,1400,,0.08423345212508727,1.1156851628376165,19.019755139057704,3.116122718782132,358.87460079624,59.26789109449092,40.982609921349386,69.14808197917947,0.027223379989189368,0.018824445112428204,72.95,,
87.5,1400,,0.08479744602866086,1.1244965804643408,18.987917569685138,3.1183844876161606,357.93212300016,59.21162760144048,41.15389488480597,69.50306308385414,0.02732418361887553,0.018991144577775197,73.0625,,
88.5,1400,,0.08531706272367254,1.1208760503624913,19.0053827692007,3.1191550735244276,357.93212300016,59.2807360888261,41.40607844079524,69.847443153797,0.02707032620742347,0.018907930709277522,73.0625,,
89.5,1400,,0.08478766480532157,1.1137583754499085,18.991195053826967,3.1208392403819887,357.93212300016,59.26846674573153,41.14467429783644,69.4208515201714,0.027069320500332034,0.018791752792054816,73.0625,,
90.5,1400,,0.08420289018578662,1.1149329264598093,18.982254602711876,3.114611131861766,358.35100202063995,59.12234149344065,40.916304315472345,69.20616349406902,0.027249111206707925,0.01885806445239497,72.95,,
91.5,1400,,0.08349281600501518,1.123322969052685,18.998105583727174,3.112717560922709,358.87460079624,59.13573687473135,40.62897197803001,68.70460084753037,0.02764832370506737,0.018995670442599658,72.95,,
92.5,1400,,0.0839656144580103,1.1145138978286622,18.969826835447225,3.1158879940712314,358.45572177575997,59.10785568618027,40.80330707192143,69.03195285675278,0.02731430312411144,0.018855596855787162,72.95,,
93.5,1400,,0.08324596108818423,1.1191694819517912,18.97919971729425,3.1154706172773396,357.93212300016,59.12913905866863,40.39834113690488,68.32222112488594,0.027703352426255993,0.018927545703673075,72.95,,
94.5,1400,,0.08473544946462759,1.1212414811679086,18.96588656508681,3.1179886402128756,358.03684275527996,59.135418861506665,41.138540634585034,69.56666821102635,0.02725525660055341,0.018960573929370853,72.95,,
95.5,1400,,0.08505891173872517,1.1160877114358636,18.993522399750454,3.121315120431154,358.24628226552,59.28476865658891,41.31721032043113,69.69279168442726,0.027012658956889073,0.018825876135249484,72.95,,
96.5,1400,,0.08443052235141824,1.1134641864150767,18.981714557226496,3.1157030980493405,358.1415625104,59.14138685223886,40.99560270411216,69.31795969975673,0.027160576085478266,0.018827157185153588,72.95,,
97.5,1400,,0.08344392435947277,1.1115325609369233,19.04795089626011,3.1199790774011222,359.39819957184,59.4292082636955,40.65535509826545,68.4097202134548,0.02734037270736682,0.018703472474425397,72.95,,
98.5,1400,,0.08346880820560636,1.1181085974624427,19.091828250429415,3.1187949645350503,360.96899589864,59.54349781120728,40.8495859856444,68.60461257275297,0.027371356905682594,0.01877801336104901,72.95,,
99.5,1400,,0.0836811699063221,1.116473713963017,19.038003132786983,3.1175353043638756,359.7123588372,59.351646891053484,40.81292404639149,68.76460247397705,0.027355886402403724,0.018811166537845665,72.95,,
100.5,1400,,0.08375997142027951,1.1207801760662086,19.032504274552885,3.116761075197284,359.08404030648,59.31976848645235,40.777964820550295,68.74262300916314,0.027484946367440703,0.01889387306564044,72.95,,
101.5,1400,,0.0840951685760957,1.1302121090986734,19.001628298450253,3.1211549360015116,358.35100202063995,59.30702595577401,40.85798283842175,68.89231449388485,0.027661965436919525,0.01905696822399233,72.95,,
102.5,1400,,0.08387492513942853,1.1171947415533865,18.99139174995656,3.1179132251760566,358.1415625104,59.21351150168901,40.72625544359977,68.77865272766012,0.02743180607656274,0.018867226638324252,72.95,,
103.5,1400,,0.08394182438439353,1.1221127660969041,19.005896583403608,3.121914892284367,359.08404030648,59.3347915849443,40.87022286438185,68.8807051860486,0.027455508863271173,0.01891154811743926,72.95,,
104.5,1400,,0.08345363414204753,1.1182811492830405,19.0491912638101,3.1189125710892216,359.60763908207997,59.4127621017803,40.68491625089831,68.4784124010272,0.02748638198950082,0.018822238012892033,72.8375,,
