Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),Motor Temp,App message
33.92866675,1700,,0.279211613,3.921011572,23.42643119,14.26785982,6386,334.2418325,253.1691594,75.75523841,0.015488209,0.011733012,77,76.4375,77.36,
34.4343455,1700,,0.280713279,3.960790673,23.44293961,13.99397774,6373,328.0575978,253.9840032,77.43506424,0.015594666,0.012075689,77,76.4375,77.5625,
34.97426575,1700,,0.282001912,3.956066844,23.43677728,14.04491119,6379,329.1661809,255.4227216,77.60060165,0.015488816,0.012019387,77,76.4375,77.5625,
35.494345,1700,,0.281669295,3.966827286,23.42639258,14.17621072,6381,332.0944945,255.1836892,76.85099873,0.015545956,0.011947264,77,76.4375,77.6525,
36.0407935,1700,,0.279797744,3.920152811,23.44971503,13.80772199,6373,323.7868054,253.1653267,78.19041552,0.01548446,0.012107396,77,76.4375,77.675,
36.57048375,1700,,0.278501968,3.887814873,23.45083072,13.7699839,6373,322.9166855,251.981936,78.03576798,0.015428894,0.012040035,77,76.375625,77.79875,
37.09963925,1700,,0.280224264,3.948863728,23.43890716,13.91282221,6373,326.1008918,253.5546522,77.75560613,0.015574138,0.0121097,77,76.325,77.9,
37.64056775,1700,,0.28056621,3.954511211,23.43473827,13.94354697,6375,326.7629717,253.933163,77.7135401,0.015573107,0.012102327,77.03375,76.35875,77.93375,
38.185534,1700,,0.278551029,3.922969879,23.44223426,13.80916448,6375,323.7165272,252.1381592,77.89552024,0.015558891,0.012119518,77.1125,76.4375,78.0125,
38.692294,1700,,0.276040048,3.893282171,23.44647073,13.72768089,6372,321.8648546,249.7513058,77.59906039,0.015588617,0.012096605,77.1125,76.4375,78.0125,
39.2123995,1700,,0.279165141,3.912831585,23.43608532,13.85648884,6373,324.740616,252.594635,77.78562554,0.015490555,0.012049429,77.1125,76.4375,78.125,
39.71721525,1700,,0.283370212,3.96878979,23.4264014,13.96887153,6372,327.2402373,256.3846603,78.34863315,0.015479929,0.012128244,77.1125,76.4375,78.125,
40.22674875,1700,,0.285445799,3.99428953,23.4311257,13.88232427,6373,325.2780577,258.2640184,79.39993169,0.015465904,0.012279865,77.1125,76.4375,78.26,
40.723799,1700,,0.281916268,3.97247506,23.43216163,13.8457983,6372,324.4364768,255.0691239,78.62225658,0.015574213,0.012244544,77.1125,76.4375,78.35,
41.2419745,1700,,0.282873479,4.004512316,23.42367759,13.93974949,6373,326.5192255,255.9414099,78.39023827,0.015646212,0.012265134,77.1125,76.4375,78.378125,
41.76350975,1700,,0.285397831,4.051717472,23.40484778,14.18828466,6372,332.0736316,258.2162021,77.7619527,0.015691109,0.012201655,77.1125,76.4375,78.4625,
42.26845675,1700,,0.282212692,3.984877268,23.41946387,13.94825669,6382,326.6590383,255.6998763,78.28395489,0.015584119,0.012199327,77.1125,76.4375,78.4625,
42.80407125,1700,,0.275737755,3.874271437,23.43967143,13.64913858,6372,319.9309697,249.477602,77.98028697,0.015529564,0.012109836,77.208125,76.4375,78.558125,
43.3436815,1700,,0.279021068,3.892620308,23.43037252,13.76905301,6372,322.6137244,252.4496412,78.2520951,0.015419407,0.012065984,77.225,76.4375,78.575,
43.877823,1700,,0.282077566,3.883861508,23.41852561,13.92626867,6373,326.1307725,255.2406552,78.27230783,0.015216511,0.011910434,77.225,76.37,78.71,
44.40705925,1700,,0.280835897,3.870363775,23.42177628,13.86342571,6372,324.7053918,254.0697797,78.25015813,0.015233513,0.01192016,77.225,76.325,78.8,
44.92031725,1700,,0.279521114,3.862258749,23.42852249,13.74880515,6372,322.1138268,252.9020047,78.5156228,0.01527191,0.011990639,77.225,76.353125,78.828125,
45.47441225,1700,,0.281637236,3.927202528,23.40578499,14.04691452,6372,328.7781075,254.8108534,77.50542446,0.015412031,0.011945118,77.225,76.4375,78.9125,
46.014107,1700,,0.284428217,3.975429932,23.4106136,13.94892324,6373,326.5518312,257.346725,78.81220608,0.015447799,0.012174772,77.23625,76.42625,78.92375,
46.53568825,1700,,0.281593392,3.941241601,23.41475407,13.87362523,6372,324.847174,254.7662818,78.42954548,0.015470192,0.012132986,77.3375,76.325,79.025,
47.04753725,1700,,0.281715073,3.955129948,23.40681427,13.96655516,6372,326.9124227,254.8742457,77.96508267,0.015517982,0.012098588,77.3375,76.325,79.025,
47.5722555,1700,,0.283253703,3.958947057,23.39543265,14.12467182,6374,330.4510609,256.3479915,77.58441939,0.01544367,0.011981846,77.3375,76.325,79.1825,
48.089651,1700,,0.283484425,3.950280369,23.39753297,14.06831747,6374,329.1629148,256.5680758,77.95087037,0.015396649,0.012001791,77.3375,76.325,79.25,
48.6145335,1700,,0.282098282,3.964958841,23.40083185,13.99207175,6373,327.4250119,255.2381658,77.95828694,0.015534448,0.012110488,77.3375,76.325,79.295,
49.145552,1700,,0.281458048,3.972581505,23.39994783,13.98951757,6373,327.3536173,254.664119,77.79679664,0.015599321,0.012135756,77.3375,76.325,79.3625,
49.68500925,1700,,0.283723878,3.987446295,23.40145647,13.94776362,6373,326.3974297,256.7075055,78.65202628,0.015533048,0.012217027,77.354375,76.325,79.379375,
50.2267395,1700,,0.282775695,3.978305734,23.38462803,14.17588108,6372,331.4965767,255.8386883,77.18228407,0.015550036,0.012001906,77.45,76.325,79.475,
50.7762325,1700,,0.282912899,3.945811593,23.38507418,14.15772026,6375,331.0758359,256.0560417,77.35545776,0.015410237,0.011920948,77.45,76.325,79.475,
51.3104455,1700,,0.285244687,3.982110101,23.39567501,13.98521255,6372,327.1932936,258.080745,78.87894053,0.015429815,0.012170726,77.45,76.325,79.581875,
51.8297665,1700,,0.285736388,3.995765521,23.39917635,13.91033249,6373,325.4901275,258.5271518,79.42835718,0.015456046,0.012276332,77.45,76.325,79.5875,
52.3600765,1700,,0.284072303,3.9880499,23.39172083,14.00528319,6372,327.606802,257.0135783,78.45776045,0.015517058,0.012173987,77.45,76.325,79.660625,
52.89606975,1700,,0.281720113,3.99501371,23.39059071,14.00380362,6373,327.5568808,254.89488,77.81792967,0.015673201,0.012196563,77.45,76.325,79.7,
53.4326695,1700,,0.286749692,4.05109311,23.37305297,14.2322738,6373,332.6510421,259.4478292,77.99672309,0.015614361,0.012178673,77.489375,76.325,79.739375,
53.95875525,1700,,0.283054056,4.00572744,23.38922748,13.98834524,6373,327.1744878,256.1004408,78.28103251,0.015641266,0.012244168,77.5625,76.325,79.8125,
54.49927275,1700,,0.278942055,3.916376958,23.40120833,13.80678236,6372,323.0950197,252.3682357,78.11175545,0.015518526,0.012121784,77.5625,76.325,79.8125,
55.02338875,1700,,0.2798064,3.903547953,23.39081725,13.94224504,6373,326.1204319,253.1634655,77.62927953,0.015419063,0.011969729,77.5625,76.325,79.8125,
55.57663075,1700,,0.282108048,3.944138922,23.38710344,13.98665222,6376,327.1056189,255.3963807,78.08396373,0.015443552,0.012059107,77.5625,76.325,79.8125,
56.09396025,1700,,0.280626906,3.94475782,23.39512491,13.84987624,6373,324.0193107,253.907245,78.36308042,0.01553621,0.012174626,77.5625,76.325,79.8125,
56.64308025,1700,,0.280807062,3.960306759,23.38999875,13.91111279,6372,325.3806845,254.0598493,78.08200845,0.015588095,0.012171491,77.5625,76.325,79.8125,
57.1661745,1700,,0.281042433,3.945974592,23.38891176,13.91567114,6373,325.4720763,254.2982559,78.13379487,0.015517201,0.012124126,77.624375,76.325,79.874375,
57.67111,1700,,0.282710292,3.95373617,23.38065497,14.02329858,6372,327.8734648,255.7716811,78.01157192,0.015458073,0.012059051,77.675,76.325,79.925,
58.17788075,1700,,0.281793501,3.946968053,23.38776189,13.90565018,6372,325.2215649,254.9591903,78.39796136,0.01548079,0.012136499,77.675,76.325,79.941875,
58.70089225,1700,,0.283637809,3.995114,23.3762064,14.05350072,6373,328.5171515,256.6281061,78.11832451,0.015567746,0.012161244,77.675,76.325,80.0375,
59.2497165,1700,,0.285189944,4.008261474,23.36367668,14.21384663,6373,332.086761,258.0372412,77.70591478,0.015533698,0.012070641,77.675,76.325,80.0375,
