Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),Motor Temp,App message,
700.0385182500095,1000,,-0.0056302222003346706,0.002119845129002402,1.720666083396813,-0.05107985447262482,0,0.0878923584440449,0,0,0,0,76.325,84.65,,
700.6126190000235,1000,,-0.005566868229636112,0.0014456698545893573,1.712530829447891,-0.050508561903810166,0,0.08649991149468791,0,0,0,0,76.325,84.633125,,
701.1880005000205,1000,,-0.005721269454092357,0.0007951568383918664,1.704281947771928,-0.04908234838962875,0,0.08364974190901346,0,0,0,0,76.325,84.5375,,
701.7572367500155,1000,,-0.005735388297783917,0.0021911773525660014,1.696198605347626,-0.05134799186585067,0,0.08709299395180335,0,0,0,0,76.325,84.5375,,
702.3093907500117,1000,,-0.00565001881949409,0.0014977707346129727,1.6884029787530186,-0.05213893134845887,0,0.08803619706802598,0,0,0,0,76.325,84.5375,,
702.8692280000269,1000,,-0.005429006118555384,0.00025136792789852094,1.6805912863085894,-0.04903866351757313,0,0.08241199213259949,0,0,0,0,76.325,84.5375,,
703.4497552500188,1000,,-0.0055754965701242856,0.0000520076176837475,1.672450189739017,-0.04843994487649065,0,0.08101429716796546,0,0,0,0,76.325,84.5375,,
704.0280600000235,1000,,-0.005460700794348547,0.0007302651909485328,1.6644099050246646,-0.04941857076831933,0,0.08225350187810274,0,0,0,0,76.325,84.5375,,
704.5908980000138,1000,,-0.005612156582410229,0.0008509614650059303,1.6565250075426576,-0.04764639589032786,0,0.07892917640933393,0,0,0,0,76.325,84.5375,,
705.1573905000208,1000,,-0.005589756779707028,0.0005597590522321089,1.6486895808812334,-0.048064337564223666,0,0.07923997260292194,0,0,0,0,76.325,84.5375,,
705.7285337500274,1000,,-0.005617067447246777,0.00020826562628700705,1.6407740354977378,-0.04960426172776421,0,0.08138985609953654,0,0,0,0,76.325,84.5375,,
