Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message
20.7643815,1700,,0.367131375,5.262380968,22.91073295,19.85039157,7086,454.7869948,369.386709,81.22209961,0.014246311,0.011571104,73.7375,71.7125,74.3,
21.26831925,1700,,0.36845291,5.195924706,22.91330389,19.79333708,7098,453.5306147,371.3409756,81.87795595,0.01399231,0.011456628,73.7375,71.7125,74.3,
21.7707365,1700,,0.366208616,5.152640338,22.9159753,19.74303716,7100,452.4308908,369.1547587,81.59385816,0.013957941,0.011388816,73.7375,71.7125,74.39,
22.2701805,1700,,0.36334758,5.128228974,22.91386032,19.7555536,7099,452.6758997,366.2047743,80.89801309,0.014003743,0.011328738,73.7375,71.7125,74.525,
22.764454,1700,,0.367065562,5.178888454,22.91514999,19.7166887,7104,451.810769,370.2230841,81.9423005,0.013988599,0.011462608,73.7375,71.7125,74.525,
23.2654455,1700,,0.366399787,5.173252632,22.91887774,19.65166615,7104,450.3941142,369.5705446,82.05497496,0.013998028,0.011486066,73.7375,71.7125,74.631875,
23.7648085,1700,,0.364479709,5.168416717,22.91943138,19.63312484,7106,449.9799696,367.7516156,81.72652817,0.01405417,0.011485889,73.7375,71.7125,74.6375,
24.265074,1700,,0.364325192,5.185201512,22.90997575,19.74973937,7098,452.4656247,367.1705084,81.1491475,0.014122095,0.011459955,73.79375,71.7125,74.69375,
24.7705355,1700,,0.361485651,5.130427001,22.91637328,19.65335696,7115,450.3833751,365.1434221,81.07313339,0.014050303,0.011391095,73.85,71.7125,74.75,
25.265837,1700,,0.361602156,5.140626902,22.92020397,19.58745348,7106,448.9484097,364.8141821,81.25981724,0.014091115,0.011450391,73.85,71.7125,74.76125,
25.76618975,1700,,0.362131514,5.148415768,22.9170167,19.61615857,7099,449.5437486,365.0104694,81.196025,0.014104841,0.011452601,73.85,71.7125,74.8625,
26.26591525,1700,,0.360985954,5.169145405,22.91800167,19.58985444,7106,448.9602493,364.2178518,81.12482875,0.014192479,0.011513614,73.85,71.7125,74.8625,
26.76984675,1700,,0.362053784,5.197675789,22.91340342,19.63997867,7099,450.0186229,364.9420464,81.09470643,0.014242659,0.011549956,73.85,71.7125,74.94125,
27.2659095,1700,,0.361538123,5.163905928,22.91269836,19.6366525,7103,449.9286564,364.5959814,81.03420314,0.01416336,0.011477164,73.85,71.7125,74.975,
27.76703525,1700,,0.362099825,5.137476469,22.91412172,19.60510795,7102,449.2337794,365.1124251,81.27470554,0.014070985,0.011436114,73.85,71.7125,75.003125,
28.26697825,1700,,0.364860148,5.16268263,22.90640811,19.70057271,7108,451.268422,368.2334627,81.60077311,0.01402019,0.011440592,73.85,71.7125,75.0875,
28.76507775,1700,,0.365652362,5.187151699,22.90811041,19.67111467,7102,450.6280546,368.6974989,81.81864384,0.014068888,0.011510941,73.85,71.7125,75.0875,
29.26641625,1700,,0.364350142,5.186786621,22.90075701,19.76496805,7103,452.6320544,367.4650721,81.18468966,0.014115273,0.011459393,73.85,71.7125,75.1775,
29.76581825,1700,,0.360663112,5.145499905,22.90893753,19.64438187,7104,450.031823,363.767191,80.83186094,0.014145118,0.011433626,73.85,71.7125,75.2,
30.2664535,1700,,0.358965202,5.122140164,22.91378996,19.57865102,7110,448.620939,362.3634719,80.77278096,0.014135468,0.011417595,73.85,71.7125,75.245,
30.7655815,1700,,0.358862671,5.143905239,22.91503845,19.55219751,7105,448.039311,362.008859,80.798443,0.014209414,0.011480951,73.85,71.7125,75.3125,
31.26562525,1700,,0.35980781,5.099834119,22.90933032,19.62103381,7108,449.5046581,363.1314034,80.7848786,0.014044101,0.011345498,73.85,71.7125,75.3125,
31.78653925,1700,,0.360449595,5.12496446,22.90371294,19.68532251,7092,450.8667045,362.9588484,80.50263008,0.014119925,0.011366902,73.85,71.7125,75.419375,
32.2982155,1700,,0.362629806,5.148278481,22.90152882,19.70714634,7097,451.3236831,365.3896985,80.95997961,0.014089802,0.011407144,73.85,71.7125,75.425,
32.7898295,1700,,0.364760318,5.211591065,22.89912293,19.72496589,7092,451.6843232,367.2620088,81.30963142,0.014190369,0.011538145,73.85,71.7125,75.425,
33.29053575,1700,,0.366728896,5.232453548,22.89260695,19.80207158,7086,453.3209857,368.9472582,81.38773114,0.014182133,0.011542514,73.85,71.7125,75.425,
33.791408,1700,,0.366951667,5.213338538,22.89877483,19.71182947,7094,451.3766,369.6209393,81.88790765,0.014104574,0.011549901,73.85,71.7125,75.45875,
34.293387,1700,,0.364240547,5.207005032,22.89983618,19.68928754,7095,450.8814267,366.9126814,81.37674669,0.014191434,0.011548511,73.85,71.7125,75.65,
34.793419,1700,,0.361403913,5.167172346,22.89406264,19.76561101,7105,452.5146779,364.5761532,80.56764011,0.01417311,0.011418984,73.85,71.7125,75.65,
35.298332,1700,,0.359275711,5.104208441,22.90985798,19.55470637,7113,447.9953737,362.8196172,80.9876642,0.01406811,0.011393361,73.934375,71.628125,75.734375,
35.79112025,1700,,0.359086833,5.078842126,22.91579828,19.47953198,7122,446.3889211,363.1286859,81.3481281,0.013986566,0.011377632,73.9625,71.6,75.7625,
36.30198725,1700,,0.360637467,5.128904435,22.90838215,19.56766739,7100,448.2634762,363.5232755,81.09569115,0.014108912,0.011441701,73.9625,71.639375,75.801875,
36.79790225,1700,,0.360150659,5.119997774,22.90607004,19.59699612,7103,448.8901529,363.2050274,80.9117774,0.014096775,0.011405908,73.9625,71.7125,75.875,
37.2907315,1700,,0.361708579,5.174427898,22.90026469,19.65834683,7091,450.1813153,364.1830741,80.89695944,0.014208364,0.0114941,73.9625,71.7125,75.875,
37.78958325,1700,,0.362306755,5.146206489,22.90213701,19.62692758,7097,449.4985131,365.0784158,81.21921727,0.014096153,0.01144878,73.9625,71.616875,75.970625,
38.29158475,1700,,0.363679999,5.158510561,22.89304181,19.74663508,7087,452.0604467,365.9642577,80.95443779,0.014095802,0.011411096,73.9625,71.6,75.9875,
38.79075025,1700,,0.368330289,5.188527862,22.8909644,19.75994305,7093,452.3238432,370.9270434,82.00547065,0.013988016,0.01147094,73.9625,71.650625,76.038125,
39.2917565,1700,,0.364040995,5.138529257,22.90159081,19.61589914,7101,449.2351637,367.0453581,81.7043092,0.013999694,0.011438355,73.9625,71.7125,76.1,
39.802067,1700,,0.362280931,5.125445301,22.90574977,19.55822716,7102,447.9958261,365.3017013,81.54139086,0.014030714,0.011440806,73.9625,71.7125,76.105625,
40.31750475,1700,,0.36339893,5.190632971,22.89900252,19.64632152,7097,449.8809857,366.1742665,81.3935695,0.014175485,0.011537806,73.9625,71.7125,76.2125,
40.81519775,1700,,0.366528111,5.209483362,22.89911844,19.63470469,7099,449.6173771,369.4330389,82.16628791,0.01410151,0.011586487,73.9625,71.7125,76.2125,
41.315393,1700,,0.362417081,5.18778872,22.90152399,19.60308049,7099,448.9403339,365.2744161,81.36402971,0.014202602,0.01155565,74.035625,71.7125,76.35875,
